,Index,Language,Influenced By,Influenced,Year,Language
141,140,dBase,,"[Clipper, WordTech products, Harbour. FoxBASE+, FoxPro, Visual FoxPro, VP-Info]",1979,dBase
535,534,Rexx,"[PL/I, ALGOL, EXEC, EXEC 2]","[NetRexx, Object REXX]",1979,Rexx
91,90,CHILL,"[COBOL, PL/1]",,1980,CHILL
579,578,SMALL,[ALGOL],,1980,SMALL
191,190,Fjölnir ,,,1980,Fjölnir (programming language)
166,165,Emerald ,"[Pascal, Simula, Smalltalk]","[Java, Singularity]",1980,Emerald (programming language)
209,208,Franz Lisp,"[Lisp, Maclisp, Common Lisp]",[Allegro Common Lisp],1980,Franz Lisp
14,13,Ada ,"[ALGOL 68, Pascal, Simula 67, C++, Smalltalk, Modula-2, Java, Eiffel]","[C++, Chapel, Drago, D, Eiffel, Griffin, Java, Nim, ParaSail, PL/SQL, Python, Ruby, Seed7, VHDL]",1980,Ada (programming language)
148,147,Draco ,"[ALGOL 68, Pascal, C]",,1980,Draco (programming language)
359,358,Microsoft Macro Assembler,,,1981,Microsoft Macro Assembler
408,407,Nial,"[APL, Lisp]",,1981,Nial
294,293,Karel ,[Pascal],"[Karel++, AgentSheets, Guido van Robot]",1981,Karel (programming language)
301,300,Kent Recursive Calculator,[SASL],[Miranda],1981,Kent Recursive Calculator
275,274,Janus (time-reversible computing programming language),,,1982,Janus (time-reversible computing programming language)
526,525,Rapira,"[ALGOL, POP-2, SETL]",,1982,Rapira
615,614,T ,[Scheme],"[EuLisp, Joule]",1982,T (programming language)
490,489,PostScript,"[Mesa, Interpress,  Lisp]",[PDF],1982,PostScript
637,636,Turing ,"[Euclid, Pascal, SP/k]",,1982,Turing (programming language)
362,361,Maxima ,,,1982,Maxima (software)
354,353,Maple ,,,1982,Maple (software)
5,4,ABAP,"[Objective-C, COBOL, SQL]",,1983,ABAP
305,304,KornShell,,,1983,KornShell
11,10,Action! ,,,1983,Action! (programming language)
570,569,Superbase,,,1983,Superbase (database)
576,575,SISAL,"[VAL, Pascal, C, Fortran]","[Haskell, SAC]",1983,SISAL
431,430,occam ,[Communicating sequential processes],"[Ease, Go, Python]",1983,occam (programming language)
581,580,Standard ML,"[ML, Hope, Pascal, Influenced, Elm, F#, F*, Haskell, OCaml, Python, Rust, Scala]","[Elm, F#, F*, Haskell, OCaml, Python, Rust, Scala]",1983,Standard ML
608,607,Superbase ,,,1983,Superbase (database)
499,498,Prograph,"[functional programming, dataflow diagrams]",,1983,Prograph
437,436,Open Programming Language,,,1984,Open Programming Language
502,501,PROMAL,[C],,1984,PROMAL
447,446,Orwell ,[Miranda],[Haskell],1984,Orwell (programming language)
112,111,Common Lisp,"[Lisp, Lisp Machine Lisp, Maclisp, Scheme, Interlisp]","[Clojure, Dylan, Emacs Lisp, EuLisp, ISLISP, *Lisp, AutoLisp, Julia, Moose, R, SKILL, SubL]",1984,Common Lisp
428,427,Objective-C,"[C, Smalltalk]","[Groovy, Java, Nu, Objective-J, TOM, Swift]",1984,Objective-C
539,538,RPL ,"[RPN, Forth, Lisp]",,1984,RPL (programming language)
77,76,Caml,[ML],[OCaml],1985,Caml
71,70,C++,"[Ada, ALGOL 68, BCPL, C, CLU, ML, Mesa, Modula-2, Simula, Smalltalk]","[Ada 95, C#, C99, Chapel, Clojure, D, Java, JS++, Lua, Nim, Objective-C++, Perl, PHP, Python, Rust, Seed7]",1985,C++
99,98,CLIPS,,,1985,CLIPS
98,97,Clipper ,,,1985,Clipper (programming language)
605,604,Stata,,,1985,Stata
165,164,Emacs Lisp,"[Common Lisp, Maclisp]",,1985,Emacs Lisp
34,33,AMPL,"[AWK, C]",[Pyomo],1985,AMPL
377,376,Miranda ,"[KRC, ML, SASL, Hope]","[Clean, Haskell, Orwell, Microsoft Power Fx]",1985,Miranda (programming language)
470,469,CMS Pipelines,[Pipeline ],,1986,CMS Pipelines
262,261,IBM Informix-4GL,,,1986,IBM Informix-4GL
656,655,AutoLISP,"[Lisp, XLISP]",,1986,AutoLISP
169,168,Erlang ,"[Lisp, PLEX, Prolog, Smalltalk]","[Akka, Clojure, Dart, Elixir, F#, Opa, Oz, Reia, Rust, Scala, Go]",1986,Erlang (programming language)
244,243,CMS Pipelines,[Pipeline ],,1986,CMS Pipelines
49,48,AutoLISP,"[Lisp, XLISP]",,1986,AutoLISP
121,120,CorVision,[Inform],,1986,CorVision
308,307,LabVIEW,,,1986,LabVIEW
126,125,Csound,,,1986,Csound
139,138,Datalog,[Prolog],,1986,Datalog
161,160,Eiffel ,"[Ada, Simula, Z]","[Ada 2012, Albatross, C#, D, Java, Racket, Ruby, Sather, Scala]",1986,Eiffel (programming language)
630,629,Clarion ,,,1986,Clarion (programming language)
427,426,Object Pascal,"[Pascal, Simula, Smalltalk]","[C#, Genie, Java, Nim, C/AL]",1986,Object Pascal
96,95,Clarion ,,,1986,Clarion (programming language)
422,421,Oberon ,[Modula-2],"[Oberon-2, Oberon-07, Active Oberon, Component Pascal, Zonnon, Go, Nim]",1987,Oberon (programming language)
564,563,Self ,"[Smalltalk, APL]","[NewtonScript, JavaScript, Io, Agora, Squeak, Lua, Factor, REBOL]",1987,Self (programming language)
461,460,Perl,"[AWK, BASIC, C, C++, Lisp, sed, Unix shell]","[CoffeeScript, Groovy, JavaScript, Julia, LPC, PHP, Python, Raku, Ruby, PowerShell]",1987,Perl
256,255,HyperTalk,[Pascal],"[ActionScript, AppleScript, ECMAScript, JavaScript, Lingo, LiveCode, SenseTalk, SuperTalk]",1987,HyperTalk
97,96,Clean ,"[Lean, Miranda, Haskell]","[Haskell, Idris]",1987,Clean (programming language)
6,5,ABC ,"[SETL, ALGOL 68]",[Python],1987,ABC (programming language)
72,71,C*,[Lisp],[],1987,C*
664,663,Wolfram Language,"[APL, C, C++, FORTRAN, Lisp, Pascal, Prolog, Schoonschip, Simula, Smalltalk, SMP]","Jupyter, Clojure, Julia",1988,Wolfram Language
620,619,Tcl,"[AWK, Lisp]","[PHP, PowerShell, Tea]",1988,Tcl
426,425,Object REXX,"[Rexx, Smalltalk]",[NetRexx],1988,Object REXX
466,465,PicoLisp,,,1988,PicoLisp
397,396,Napier88,"[ALGOL 60, S-algol, PS-algol]",,1988,Napier88
618,617,TADS,,,1988,TADS
242,241,Hamilton C shell,,,1988,Hamilton C shell
3,2,A+ ,[APL],[K],1988,A+ (programming language)
385,384,Modula-3,"[ALGOL, Euclid, Mesa, Modula-2, Modula-2+, Oberon, Pascal]","[C#, Java, Nim, OCaml, Rust, Python]",1988,Modula-3
529,528,rc,[Bourne shell],"[es, The Inferno shell.]",1989,rc
192,191,FL ,[FP],,1989,FL (programming language)
119,118,Coq,,,1989,Coq
566,565,SequenceL,,,1989,SequenceL
170,169,rc,[Bourne shell],"[es, The Inferno shell]",1989,rc
56,55,Bash ,,,1989,Bash (Unix shell)
577,576,Cadence SKILL,"[Scheme, Common Lisp, CLOS]",,1990,Cadence SKILL
171,170,Escher      ,,,1990,Escher (programming language)
22,21,Aldor,"[A#, Pascal, Haskell]",,1990,Aldor
9,8,Rational Synergy,,,1990,Rational Synergy
688,687,Z shell,,,1990,Z shell
33,32,AMOS ,[STOS BASIC],,1990,AMOS (programming language)
245,244,Haskell,"[Clean, FP, Gofer, Hope and Hope+, Id, ISWIM, KRC, Lisp, Miranda, ML and Standard ML, Orwell, SASL, Scheme, SISAL]","[Agda, Bluespec, C++11/Concepts, C#/LINQ, CAL, Cayenne, Clean, Clojure, CoffeeScript, Curry, Elm, Epigram, Escher, F#, Hack, Idris, Isabelle, Java/Generics, LiveScript, Mercury, Ωmega, PureScript, Python, Raku, Rust, Scala, Swift, Visual Basic 9]",1990,Haskell
555,554,Sather,"[Eiffel, CLU, Common Lisp, Scheme]",[Cool],1990,Sather
274,273,Janus (concurrent constraint programming language),,,1990,Janus (concurrent constraint programming language)
268,267,J ,[APL],"[NumPy, SuperCollider]",1990,J (programming language)
137,136,Darwin ,[Maple],,1991,Darwin (programming language)
154,153,Ease ,[occam],,1991,Ease (programming language)
492,491,POV-Ray,,,1991,POV-Ray
650,649,Vim     ,,,1991,Vim (text editor)
404,403,newLISP,"[C, Common Lisp, Perl, Scheme]",,1991,newLISP
512,511,Python ,"[ABC, Ada, ALGOL 68, APL, C, C++, CLU, Dylan, Haskell, Icon, Lisp, Modula-3, Perl, Standard ML, Influenced, Apache Groovy, Boo, Cobra, CoffeeScript, D, F#, Genie, Go, JavaScript, Julia, Nim, Ring, Ruby, Swift]","[Apache Groovy, Boo, Cobra, CoffeeScript, D, F#, Genie, Go, JavaScript, Julia, Nim, Ring, Ruby, Swift]",1991,Python (programming language)
222,221,GNU E,[C++],,1991,GNU E
449,448,Oz ,"[Erlang, Lisp, Prolog]","[Alice, Scala]",1991,Oz (programming language)
296,295,KiXtart,,,1991,KiXtart
116,115,Constraint Handling Rules,[Prolog],,1991,Constraint Handling Rules
446,445,Oriel ,,,1991,Oriel (scripting language)
82,81,Cecil ,,[Diesel],1992,Cecil (programming language)
150,149,Dylan ,"[CLOS, ALGOL, Scheme, EuLisp]","[Lasso, Python, Ruby,Julia]",1992,Dylan (programming language)
227,226,Gödel ,,,1992,Gödel (programming language)
565,564,SenseTalk,"[xTalk, HyperTalk]",,1992,SenseTalk
506,505,ProvideX,[Business Basic],,1992,ProvideX
494,493,PowerBuilder,,,1992,PowerBuilder
23,22,Alef ,"[C, Newsqueak]","[Limbo, Rust, Go]",1992,Alef (programming language)
41,40,AppleScript,[HyperTalk],,1993,AppleScript
407,406,NewtonScript,"[Self, Dylan]",[Io],1993,NewtonScript
521,520,R ,"[Lisp, S, Scheme]",[Julia],1993,R (programming language)
429,428,Obliq,"[Modula-3, Self, Oberon]",,1993,Obliq
433,432,GNU Octave,,,1993,GNU Octave
400,399,NESL,,,1993,NESL
86,85,CFEngine,,,1993,CFEngine
695,694,ZPL ,[C],[Chapel],1993,ZPL (programming language)
339,338,Lua ,"[C++, CLU, Modula, Scheme, SNOBOL]","[GameMonkey, Io, JavaScript, Julia, MiniD, Red, Ring, Ruby, Squirrel, MoonScript, C--]",1993,Lua (programming language)
292,291,K ,"[A+, APL, Scheme]","[Q, Shakti]",1993,K (programming language)
177,176,Euphoria ,[BASIC],[Phix],1993,Euphoria (programming language)
223,222,GNU Guile,"[Lisp, Scheme, SCM]",,1993,GNU Guile
525,524,RAPID,"[ARLA, C]",,1994,RAPID
445,444,ORCA/Modula-2,,,1994,ORCA/Modula-2
95,94,Claire ,"[Smalltalk, SETL, OPS5, Lisp, ML, C]",,1994,Claire (programming language)
94,93,Cilk,[C],[],1994,Cilk
277,276,Java ,"[CLU, Simula67, Lisp, Smalltalk, Ada 83, C++, C#, Eiffel, Mesa, Modula-3, Oberon, Objective-C, UCSD Pascal, Object Pascal]","[Ada 2005, BeanShell, C#, Chapel, Clojure, ECMAScript, Fantom, Gambas, Groovy, Hack, Haxe, J#, Kotlin, PHP, Python, Scala, Seed7, Vala, JavaScript, JS++]",1995,Java (programming language)
391,390,mIRC scripting language,,,1995,mIRC scripting language
279,278,JavaScript,"[Java, Scheme, Self, AWK, HyperTalk]","[ActionScript, AssemblyScript, CoffeeScript, Dart, Haxe, JS++, Objective-J, Opa, TypeScript]",1995,JavaScript
108,107,Adobe ColdFusion,,,1995,Adobe ColdFusion
318,317,Limbo ,"[C, Pascal, CSP, Alef, Newsqueak]","[Stackless Python, Go, Rust]",1995,Limbo (programming language)
523,522,Racket ,"[Eiffel, Scheme]","[Clojure, Rust,Scheme]",1995,Racket (programming language)
368,367,Mercury ,"[Prolog, Hope, Haskell]",,1995,Mercury (programming language)
311,310,Lasso ,"[Dylan, Smalltalk, Scala]",,1995,Lasso (programming language)
464,463,PHP,"[Perl, HTML, C, C++, Java, Tcl, JavaScript, Hack]","[Hack, JSP, ASP]",1995,PHP
542,541,Ruby ,"[Ada, Basic, C++, CLU, Dylan, Eiffel, Lisp, Lua, Perl, Python, Smalltalk]","[Clojure, CoffeeScript, Crystal, D, Elixir, Groovy, Ioke, Julia, Mirah, Nu, Ring, Rust, Swift]",1995,Ruby (programming language)
317,316,LilyPond,,,1996,LilyPond
285,284,Joule ,"[Concurrent Logic Programming, Actors]",[E],1996,Joule (programming language)
90,89,Charm ,"[RTL/2, C, Pascal]",,1996,Charm (programming language)
684,683,Yorick ,,,1996,Yorick (programming language)
174,173,Etoys ,"[Logo, Smalltalk, HyperCard, StarLogo, AgentSheets]","[Tweak, Croquet, Scratch]",1996,Etoys (programming language)
599,598,Squeak,"[Smalltalk, Lisp, Logo; Sketchpad, Simula; Self, Influenced, Etoys, Tweak, Croquet, Scratch]","[Etoys, Tweak, Croquet, Scratch]",1996,Squeak
462,461,Perl Data Language,"[APL, IDL, Perl]",,1996,Perl Data Language
403,402,NetRexx,"[PL/I, REXX, ooREXX, Java]",,1996,NetRexx
518,517,QuakeC,[C],,1996,QuakeC
430,429,OCaml,"[C, Caml, Modula-3, Pascal, Standard ML]","[ATS, Coq, Elm, F#, F*, Haxe, Opa, Rust, Scala]",1996,OCaml
288,287,JScript,,,1996,JScript
396,395,Netwide Assembler,,,1996,Netwide Assembler
365,364,Autodesk 3ds Max,,,1996,Autodesk 3ds Max
149,148,DRAKON,"[PROL2, DIPOL, LAKS]",[QReal DSM platform],1996,DRAKON
378,377,MIVA Script,"[C, Perl, Java, C++]",,1996,MIVA Script
118,117,Cool ,"[Java, ML, Pascal, Sather]",,1996,Cool (programming language)
609,608,SuperCollider,,,1996,SuperCollider
30,29,Alma-0,[Modula-2],,1997,Alma-0
153,152,E ,"[Joule, Original-E, Java]",[Pony],1997,E (programming language)
75,74,Caché ObjectScript,[MUMPS],,1997,Caché ObjectScript
70,69,C--,[C],,1997,C--
381,380,Modelica,,,1997,Modelica
621,620,Tea ,"[Tcl, Java, Scheme]",,1997,Tea (programming language)
531,530,Rebol,"[Self, Forth, Lisp, Logo]","[JSON, Red]",1997,Rebol
465,464,Pico ,[Scheme],,1997,Pico (programming language)
114,113,Component Pascal,"[Pascal, Oberon, Oberon-2]",,1997,Component Pascal
324,323,LISA ,,,1997,LISA (Language for Instruction Set Architecture)
158,157,ECMAScript,"[Self, HyperTalk, AWK, C, CoffeeScript, Perl, Python, Java, Scheme]",,1997,ECMAScript
682,681,XSLT,[DSSSL],,1998,XSLT
332,331,Logtalk,"[Prolog, Smalltalk, Objective-C]",,1998,Logtalk
12,11,ActionScript,"[JavaScript, Java]",[Haxe],1998,ActionScript
382,381,Malbolge,"[Brainfuck,  INTERCAL, Befunge]","[Dis, Malbolge Unshackled]",1998,Malbolge
