,Language,Influenced By,Influenced,Year
23,SNOBOL,"[COMIT, AWK, Icon, Lua]","[AWK, Icon, Lua]",1962.0
24,Simula,[ALGOL 60],,1962.0
25,TECO,,,1962.0
26,CPL,[ALGOL 60],"[BCPL, POP-2, COWSEL]",1963.0
27,JOSS,,"[TELCOMP, FOCAL, MUMPS, BASIC]",1963.0
28,TMG,,,1963.0
36,P′′,,,1964.0
35,LYaPAS,,,1964.0
33,COWSEL,"[CPL, Lisp]",[POP-2],1964.0
34,CORAL,"[JOVIAL, Fortran]",,1964.0
31,TRAC,,,1964.0
29,PL/I,"[COBOL, Fortran, ALGOL 60, Speedcoding]","[Control Language, PL/M, Speedcoding, B, PL/C, C, SP/k, Rexx, NetRexx]",1964.0
32,BASIC,"[ALGOL 60, JOSS, Speedcoding, Fortran]","[COMAL, GRASS, Speedcoding, DIBOL, Perl, Euphoria, AutoIt, Ezhil, Ring]",1964.0
37,TELCOMP,[JOSS],[MUMPS],1965.0
38,Euler,[ALGOL 60],,1965.0
44,APL,,"[A+, C++, FP, J, K, MATLAB, Nial, Python, S, Speakeasy, Wolfram Language, Self, Perl Data Language, Q, Go, F-Script, Futhark]",1966.0
42,PL360,,[ALGOL W],1966.0
41,MUMPS,"[JOSS, Speedcoding, Fortran, TELCOMP]","[Caché ObjectScript, Speedcoding]",1966.0
43,ALGOL W,"[ALGOL 60, PL360]","[Pascal, Modula-2]",1966.0
39,Edinburgh IMP,[ALGOL 60],,1966.0
40,Executive Systems Problem Oriented Language,[ALGOL 60],[NEWP],1966.0
45,BCPL,"[CPL, Babbage]","[B, C, Go, C++]",1967.0
46,Logo,[Lisp],"[NetLogo, Smalltalk, Etoys, Scratch, Rebol, StarLogo, Ezhil, Kojo, Snap!]",1967.0
48,CMS-2,"[Fortran, JOVIAL]",,1968.0
49,Refal,,,1968.0
50,Аналитик,,,1968.0
51,TTM,"[GAP, TRAC]",,1968.0
52,FOCAL,[JOSS],,1968.0
53,ALGOL 68,[ALGOL 60],"[C, C++, KornShell, Bash, Ada, Python, Seed7, Mary, S3, RTL/2, ELAN, Draco, ABC]",1968.0
57,TUTOR,,,1969.0
56,SETL,[ALGOL 60],"[ABC, Rapira, Claire]",1969.0
54,B,"[BCPL, PL/I, TMG]",[C],1969.0
55,Planner,,"[Prolog, Smalltalk]",1969.0
65,DIBOL,"[BASIC, Fortran, COBOL]",,1970.0
58,Forth,,"[Factor, Joy, PostScript, RPL, Rebol]",1970.0
59,MATLAB,"[APL, PL/0, Speakeasy]","[Julia, Scilab, Pure]",1970.0
60,PL/C,[PL/I],,1970.0
61,Pascal,"[ALGOL W, ALGOL 60]","[Ada, C/AL, Component Pascal, Go, Java, Modula, Modula-2, Modula-3, Oberon, Object Pascal, Oxygene, Seed7, Standard ML, Euclid, COMAL, Plus, Emerald, Draco, Karel, Turing, SISAL, HyperTalk, Wolfram Language, Aldor, Limbo, Charm, OCaml, Cool, Pascal Script, ParaSail, Zonnon, Microsoft Power Fx, KUKA Robot Language]",1970.0
62,PLEX,,[Erlang],1970.0
63,Euclid,[Pascal],"[Mesa, Turing, Modula-2, Modula-3]",1970.0
64,BLISS,,,1970.0
68,Mary,[ALGOL 68],,1971.0
67,Babbage,,[BCPL],1971.0
66,MDL,[Lisp],"[Planner, Scheme, Common Lisp, Java, Prolog]",1971.0
69,SAS,,,1972.0
70,Prolog,"[Planner, MDL]","[Clojure, Datalog, Erlang, Logtalk, Mercury, Oz, Strand, Visual Prolog, XSB, Wolfram Language, Constraint Handling Rules, Go!]",1972.0
71,Smalltalk,"[Lisp, Simula, Euler, Planner, Logo, AppleScript, Dart, Dylan, Erlang, Etoys, Go, Io, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, Python, Raku, Ruby, Scala, Scratch, Self, Swift]","[AppleScript, Dart, Dylan, Erlang, Etoys, Go, Io, Java, Lasso, Logtalk, Newspeak, NewtonScript, Object REXX, Objective-C, Python, Raku, Ruby, Scala, Scratch, Self, Swift, COBOL, Emerald, Ada, C++, Object Pascal, Wolfram Language, Claire, Squeak, Strongtalk, Apache Groovy, Orc, AmbientTalk, Pharo, F-Script, Xtend, Ceylon, Snap!]",1972.0
72,SASL,,"[Miranda, Haskell, Kent Recursive Calculator]",1972.0
73,C,"[B, ALGOL 68, PL/I, Speedcoding, Fortran, ALGOL 60, BCPL]","[AMPL, AWK, C++, C--, Objective-C, D, Go, Java, JavaScript, Julia, Limbo, Perl, PHP, Processing, Python, Rust, Seed7, Vala, Nim, Zig, Speedcoding, Ratfor, S, Draco, SISAL, PROMAL, Wolfram Language, newLISP, Alef, ZPL, RAPID, Claire, Cilk, Charm, QuakeC, OCaml, MIVA Script, ECMAScript, Yoix, Cyclone, NWScript, eC, Cython, PCASTL, Chapel, Whiley, Dart, Crystal, Ring, Cg]",1972.0
74,RTL/2,[ALGOL 68],,1972.0
75,Programming Language for Business,[COBOL],,1972.0
76,PL/M,"[PL/I, XPL]",,1973.0
77,ML,,"[Clojure, Coq, Cyclone, C++, Elm, F*, Haskell, Idris, Kotlin, Miranda, Nemerle, OCaml, Opa, Erlang, Rust, Scala, Standard ML, Caml, Claire, Cool, C Sharp, Alice, Orc, F Sharp, ParaSail, Ceylon, Bosque, Pict]",1973.0
82,Nord Programming Language,,,1974.0
78,SP/k,"[PL/I, Turing]",[Turing],1974.0
79,SQL,"[Datalog, PowerShell]","[PowerShell, ABAP, XQuery, Language Integrated Query]",1974.0
80,ELAN,[ALGOL 68],,1974.0
81,sed,,"[Perl, AWK]",1974.0
86,bc,,,1975.0
85,CLU,"[ALGOL 60, Lisp, Simula]","[Ada, Argus, C++, Lua, Python, Ruby, Sather, Swift, Java]",1975.0
87,COMAL,"[BASIC, Pascal]",,1975.0
83,Modula,[Pascal],"[Alma-0, Go, Modula-2, Lua, ParaSail]",1975.0
84,Scheme,"[Lisp, MDL]","[Clojure, Common Lisp, Dylan, Haskell, Hop, JavaScript, Julia, Lua, Python, R, Racket, Ruby, Rust, S, Scala, T, Cadence SKILL, Sather, newLISP, K, GNU Guile, Tea, Pico, ECMAScript, Game Oriented Assembly Lisp, Joy, Q, AmbientTalk, Arc, Snap!, Qalb, Source, ISLISP]",1975.0
93,Lucid,,"[SISAL, Lustre]",1976.0
92,KRL,,,1976.0
91,S,"[C, APL, Fortran, Scheme]",,1976.0
94,Lisp Machine Lisp,[Lisp],[Common Lisp],1976.0
89,Plus,[Pascal],,1976.0
88,Ratfor,"[Fortran, C, Speedcoding]",,1976.0
90,Mesa,,"[Java, Modula-2, PostScript, C++, Modula-3]",1976.0
96,IDL,,,1977.0
97,FP,[APL],"[FL, Haskell, Joy]",1977.0
98,UCSD Pascal,,,1977.0
99,m4,,,1977.0
101,Icon,[SNOBOL],"[Unicon, Python, SNOBOL, C Sharp]",1977.0
102,AWK,"[C, sed, SNOBOL]","[Tcl, AMPL, Perl, Lua, SNOBOL, JavaScript, ECMAScript]",1977.0
104,C shell,,,1978.0
106,Control Language,"[Job Control Language, PL/I]",,1978.0
103,TeX,,,1978.0
105,Modula-2,"[Modula, Mesa, Pascal, ALGOL W, Euclid]","[Modula-3, Oberon, Ada, Lua, Seed7, Zonnon, C++, Alma-0, Go]",1978.0
108,Rexx,"[PL/I, EXEC 2]","[NetRexx, Object REXX]",1979.0
107,dBase,,"[Clipper, FoxPro, Visual FoxPro, Harbour]",1979.0
109,CHILL,[COBOL],,1980.0
110,SMALL,,,1980.0
111,Fjölnir,,,1980.0
112,Emerald,"[Pascal, Simula, Smalltalk]",[Java],1980.0
113,Franz Lisp,"[Lisp, Common Lisp]",,1980.0
114,Ada,"[ALGOL 68, Pascal, C++, Smalltalk, Modula-2, Java, Eiffel, ALGOL 60, CLU]","[C++, Chapel, D, Eiffel, Java, Nim, ParaSail, PL/SQL, Python, Ruby, Seed7, SPARK]",1980.0
115,Draco,"[ALGOL 68, Pascal, C]",,1980.0
118,Karel,[Pascal],,1981.0
119,Kent Recursive Calculator,[SASL],[Miranda],1981.0
117,Nial,"[APL, Lisp]",,1981.0
116,Microsoft Macro Assembler,,,1981.0
126,Maple,,,1982.0
120,Janus (time-reversible computing programming language),,,1982.0
121,Rapira,"[POP-2, SETL]",,1982.0
122,T,[Scheme],[Joule],1982.0
123,PostScript,"[Mesa, Forth]",,1982.0
124,Turing,"[Euclid, Pascal, SP/k]",,1982.0
125,Maxima,,,1982.0
132,occam,,"[Ease, Go, Python, occam-π]",1983.0
135,Prograph,,,1983.0
131,SISAL,"[Pascal, C, Fortran, Lucid]",[Haskell],1983.0
133,Standard ML,"[ML, Hope, Pascal, Elm, F*, Haskell, OCaml, Python, Rust, Scala]","[Elm, F*, Haskell, OCaml, Python, Rust, Scala, Futhark]",1983.0
130,Superbase,,,1983.0
128,KornShell,,,1983.0
127,ABAP,"[Objective-C, COBOL, SQL]",,1983.0
129,Action!,,,1983.0
136,Open Programming Language,,,1984.0
137,PROMAL,[C],,1984.0
138,Orwell,[Miranda],[Haskell],1984.0
139,Common Lisp,"[Lisp, Lisp Machine Lisp, Scheme, MDL]","[Clojure, Dylan, Emacs Lisp, ISLISP, Julia, R, Franz Lisp, Cadence SKILL, Sather, newLISP, Scala, Hy]",1984.0
140,Objective-C,"[C, Smalltalk]","[Java, Nu, Swift, Smalltalk, ABAP, Logtalk, Cobra]",1984.0
141,RPL,"[Forth, Lisp]",,1984.0
147,Emacs Lisp,[Common Lisp],,1985.0
149,Miranda,"[ML, SASL, Hope, Kent Recursive Calculator]","[Clean, Haskell, Orwell, Microsoft Power Fx]",1985.0
148,AMPL,"[AWK, C]",,1985.0
146,Stata,,,1985.0
145,Clipper,,,1985.0
142,Caml,[ML],[OCaml],1985.0
143,C++,"[Ada, ALGOL 68, BCPL, C, CLU, ML, Mesa, Modula-2, Simula, Smalltalk, APL]","[Chapel, Clojure, D, Java, Lua, Nim, Perl, PHP, Python, Rust, Seed7, COBOL, Ada, Wolfram Language, GNU E, Ruby, MIVA Script, C Sharp, AngelScript, Squirrel, eC, X10, Haxe, Vala, Umple, Dart, Zig, Carbon, Solidity]",1985.0
144,CLIPS,,,1985.0
160,Eiffel,"[Ada, Simula]","[D, Java, Racket, Ruby, Sather, Scala, COBOL, Ada, C Sharp, Cobra, SPARK]",1986.0
161,Clarion,,,1986.0
162,Object Pascal,"[Pascal, Simula, Smalltalk]","[Genie, Java, Nim, C/AL, C Sharp, Pascal Script]",1986.0
159,Datalog,[Prolog],,1986.0
158,Csound,,,1986.0
157,LabVIEW,,,1986.0
152,AutoLISP,[Lisp],,1986.0
153,Erlang,"[Lisp, PLEX, Prolog, Smalltalk, ML]","[Clojure, Dart, Elixir, Opa, Oz, Rust, Scala, Go, Smalltalk, F Sharp, Fantom]",1986.0
151,IBM Informix-4GL,,,1986.0
150,CMS Pipelines,,,1986.0
156,CorVision,[Inform],,1986.0
167,HyperTalk,[Pascal],"[ActionScript, AppleScript, ECMAScript, JavaScript, Lingo, LiveCode, SenseTalk, SuperTalk]",1987.0
168,Clean,"[Lean, Miranda, Haskell]","[Haskell, Idris]",1987.0
169,ABC,"[SETL, ALGOL 68]",[Python],1987.0
166,Perl,"[AWK, BASIC, C, C++, Lisp, sed, Raku]","[CoffeeScript, JavaScript, Julia, PHP, Python, Raku, Ruby, PowerShell, newLISP, Perl Data Language, MIVA Script, ECMAScript, BeanShell]",1987.0
170,C*,[Lisp],,1987.0
164,Oberon,"[Modula-2, Pascal]","[Component Pascal, Zonnon, Go, Nim, Modula-3, Obliq, Java]",1987.0
165,Self,"[Smalltalk, APL]","[NewtonScript, JavaScript, Io, Agora, Squeak, Lua, Factor, Smalltalk, Obliq, Rebol, ECMAScript, Strongtalk, Newspeak, AmbientTalk]",1987.0
171,Wolfram Language,"[APL, C, C++, Lisp, Pascal, Prolog, Simula, Smalltalk]","[Clojure, Julia]",1988.0
179,Modula-3,"[Euclid, Mesa, Modula-2, Oberon, Pascal]","[Java, Nim, OCaml, Rust, Python, Obliq, C Sharp]",1988.0
175,Napier88,[ALGOL 60],,1988.0
174,PicoLisp,,,1988.0
173,Object REXX,"[Rexx, Smalltalk]","[NetRexx, Smalltalk]",1988.0
172,Tcl,"[AWK, Lisp]","[PHP, PowerShell, Tea, XOTcl]",1988.0
176,TADS,,,1988.0
177,Hamilton C shell,,,1988.0
178,A+,[APL],"[K, Q]",1988.0
