Year,Language
2017,Source (programming language)
2017,Ballerina (programming language)
2017,WebAssembly
2019,Bosque (programming language)
2019,Project Verona
2021,Microsoft Power Fx
,A-0 System
,A++
,ABC ALGOL
,ACC (programming language)
,Distributed Application Specification Language
,Actor (programming language)
,ISO/IEC 8652
,Haystack (MIT project)
,AdvPL
,Keysight VEE
,Agora (programming language)
,AIMMS
,Algebraic Logic Functional programming language
,Amiga E
,Salesforce
,ARexx
,Argus (programming language)
,Averest
,Batch file
,BETA (programming language)
,BlooP and FlooP
,C/AL
,Carbon (programming language)
,Lennart Augustsson
,CDuce
,CESIL
,Céu (programming language)
,Cg (programming language)
,CHIP-8
,CLIST
,CobolScript
,Common Intermediate Language
,COMPASS
,Cryptol
,Curry (programming language)
,Cybil (programming language)
,Cypher (query language)
,CEEMAC
,DataFlex
,DATATRIEVE
,dc (computer program)
,DIGITAL Command Language
,Delphi (software)
,Dink Smallwood
,Sepandar Kamvar
,DYNAMO (programming language)
,Data Analysis Expressions
,Easytrieve
,EGL (programming language)
,Esterel
,EusLisp Robot Programming Language
,CMS EXEC
,EXEC 2
,Executable UML
,F (programming language)
,F* (programming language)
,FlagShip
,Flavors (programming language)
,Flex (programming language)
,Flix (programming language)
,BlooP and FlooP
,FOCUS
,FOIL (programming language)
,FORMAC
,Formula language
,FoxPro
,GameMonkey Script
,General algebraic modeling system
,GAP (computer algebra system)
,Geometric Description Language
,GEORGE (programming language)
,OpenGL Shading Language
,Gosu (programming language)
,IBM 1620
,GPSS
,Computer Sciences Corporation
,GRASS (programming language)
,Haggis (programming language)
,HAL/S
,Hermes (programming language)
,High Level Assembly
,High-Level Shader Language
,Hopscotch (programming language)
,Hope (programming language)
,Hume (programming language)
,IBM Basic Assembly Language and successors
,IBM HAScript
,Inform
,ISLISP
,Visual J++
,JADE (programming language)
,Jonathan Blow
,JAL (compiler)
,Warcraft III: Reign of Chaos
,JavaFX Script
,Jess (programming language)
,Job Control Language
,JEAN
,JScript .NET
,Kaleidoscope (programming language)
,IntelliCorp (software)
,Klerer–May System
,Knowledge Interchange Format
,KUKA Robot Language
,KL-ONE
,Ladder logic
,LANSA (development environment)
,Lava (programming language)
,Little Computer 3
,Lego Mindstorms
,Little Implementation Language
,Limnor
,LINC 4GL
,Lingo (programming language)
,Language Integrated Query
,LIS (programming language)
,Lithe
,LotusScript
,LPMud
,LSE (programming language)
,Lustre (programming language)
,Lynx (programming language)
,Power Query
,M2001
,Machine code
,Magik (programming language)
,Magma (computer algebra system)
,Máni
,MAPPER
,MARK IV (software)
,Maude system
,Macsyma
,Max (software)
,Maya Embedded Language
,MHEG-5
,Microassembler
,MIIS (programming language)
,Milk (programming language)
,MIMIC
,Mirah (programming language)
,Model 204
,System programming language
,MOO
,Mortran
,Mouse (programming language)
,MPD (programming language)
,MuPAD
,Mystic BBS
,Net.Data
,NEWP
,Keith Packard
,Keith Packard
,Not eXactly C
,Not Quite C
,Lego Mindstorms NXT
,o:XML
,Oak (programming language)
,OBJ (programming language)
,Object Lisp
,occam-π
,OmniMark
,Opal (programming language)
,OpenEdge Advanced Business Language
,OpenVera
,OpenQASM
,OPS5
,PARI/GP
,Programming Computable Functions
,PEARL (programming language)
,PeopleCode
,Pict (programming language)
,MUD
,PILOT
,Pizza (programming language)
,PL-11
,PL/0
,PL/P
,IBM PL/S
,PL/SQL
,PLANC
,POP-11
,POP-2
,Amiga E
,PowerHouse (programming language)
,Polymorphic Programming Language
,Promela
,PROSE modeling language
,Protel
,Pro*C
,Pure Data
,Quantum Computation Language
,QtScript
,Quantum programming
,R++
,Core War
,ROOP (programming language)
,Robot Battle
,LiveJournal
,S3 (programming language)
,S-Lang
,S-PLUS
,SA-C (programming language)
,SabreTalk
,SAIL (programming language)
,SAKO (programming language)
,Scilab
,Script.NET
,SIGNAL (programming language)
,SiMPLE
,SIMSCRIPT
,Simulink
,SLIP (programming language)
,SPITBOL
,Snowball (programming language)
,Secure Operations Language
,Solidity
,SOPHAEROS
,SPARK (programming language)
,Speakeasy (computational environment)
,Parallax Propeller
,IBM 1401 Symbolic Programming System
,SQR
,SR (programming language)
,S/SL programming language
,Strand (programming language)
,Stateflow
,Subtext (programming language)
,SuperTalk
,SYMPL
,TACL
,TACPOL (programming language)
,Transaction Application Language
,Text Executive Programming Language
,Tensilica Instruction Extension
,Tom (pattern matching language)
,Toi (programming language)
,DEC Text Processing Utility
,Transact-SQL
,TTCN
,TXL (programming language)
,Tynker
,Ubercode
,Unicon (programming language)
,Uniface (programming language)
,UNITY (programming language)
,Unreal Engine
,DataFlex
,Visual DialogScript
,Visual FoxPro
,Visual J++
,Visual Objects
,Visual Prolog
,WATFIV
,WebDNA
,List of programming languages by type
,Wyvern (programming language)
,Microsoft Dynamics AX
,XBase++
,XBL
,XMOS
,XMOS
,xHarbour
,Christophe de Dinechin
,Xojo
,XPL
,XPL0
,XSB
,XSharp
,Yahoo! Query Language
,Z notation
,Zebra Programming Language
,Zeno (programming language)
,ZOPL
,Z++
